time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.1125,0.0371458,-0.0232291,-0.125405,0.126825,0.349166,0.024775,-0.0270671,-0.125943,0.125166,0.349166,0.0285177,-0.0239581,-0.125963,0.125559,0.349443,0.0229538,-0.0349509,-0.126032,0.126011,0.349443,-1.48997,-5.80124e-07,0.349263,2.42745e-07,0.000345488,5.26482e-07,1,-2.78394e-07,3.293e-07,-5.11025e-06,-6.67467e-06,-1.33825e-05,-1.13196e-08,-0.00682273,-3.6259e-06,0.000159099
1.115,0.0383015,-0.0239519,-0.125612,0.126984,0.349166,0.0255459,-0.0279093,-0.126091,0.125324,0.349166,0.029405,-0.0247036,-0.126132,0.125714,0.349443,0.023668,-0.0360384,-0.126188,0.126212,0.349443,-1.48997,-5.79348e-07,0.349259,2.3491e-07,0.000345469,5.26471e-07,1,-3.47e-07,3.09251e-07,-4.73892e-06,-6.26819e-06,-1.47597e-05,-1.05849e-08,-0.00680565,-3.40701e-06,0.00014617
1.1175,0.0394602,-0.0246765,-0.125812,0.127141,0.349166,0.0263187,-0.0287536,-0.126235,0.125479,0.349166,0.0302946,-0.0254509,-0.126297,0.125866,0.349443,0.024384,-0.0371286,-0.12634,0.126408,0.349443,-1.48997,-5.7862e-07,0.349255,2.27562e-07,0.00034545,5.26461e-07,1,-3.78367e-07,2.90019e-07,-4.39694e-06,-5.87823e-06,-1.53834e-05,-9.89994e-09,-0.00679037,-3.22456e-06,0.00013444
1.12,0.0406216,-0.0254027,-0.126007,0.127296,0.349166,0.0270933,-0.0295999,-0.126377,0.125629,0.349166,0.0311862,-0.0262,-0.126457,0.126014,0.349443,0.0251017,-0.0382214,-0.126491,0.126597,0.349443,-1.48997,-5.77938e-07,0.349251,2.20682e-07,0.000345431,5.26452e-07,1,-3.77377e-07,2.71549e-07,-4.08189e-06,-5.50373e-06,-1.53527e-05,-9.26156e-09,-0.00677705,-3.05464e-06,0.000123682
1.1225,0.0417855,-0.0261306,-0.126196,0.127448,0.349166,0.0278696,-0.0304479,-0.126515,0.125775,0.349166,0.0320797,-0.0269506,-0.126614,0.126159,0.349443,0.0258209,-0.0393165,-0.126639,0.126781,0.349443,-1.48997,-5.77301e-07,0.349247,2.14252e-07,0.000345413,5.26443e-07,1,-3.49084e-07,2.53827e-07,-3.79168e-06,-5.14442e-06,-1.47702e-05,-8.66698e-09,-0.00676576,-2.88145e-06,0.000113748
1.125,0.0429516,-0.0268598,-0.12638,0.127598,0.349166,0.0286474,-0.0312977,-0.126651,0.125918,0.349166,0.032975,-0.0277028,-0.126766,0.126301,0.349443,0.0265415,-0.0404137,-0.126785,0.126959,0.349443,-1.48997,-5.76706e-07,0.349243,2.08251e-07,0.000345395,5.26435e-07,1,-2.98564e-07,2.36864e-07,-3.52451e-06,-4.80051e-06,-1.3739e-05,-8.11358e-09,-0.00675652,-2.69566e-06,0.000104542
1.1275,0.0441199,-0.0275904,-0.12656,0.127746,0.349166,0.0294266,-0.032149,-0.126784,0.126058,0.349166,0.0338719,-0.0284563,-0.126916,0.12644,0.349443,0.0272634,-0.0415129,-0.126929,0.127133,0.349443,-1.48997,-5.76152e-07,0.349239,2.0266e-07,0.00034538,5.26428e-07,1,-2.30763e-07,2.20683e-07,-3.27868e-06,-4.47248e-06,-1.23594e-05,-7.59895e-09,-0.0067493,-2.49297e-06,9.60123e-05
1.13,0.0452901,-0.0283222,-0.126735,0.127892,0.349166,0.0302071,-0.0330017,-0.126915,0.126195,0.349166,0.0347703,-0.0292111,-0.127062,0.126577,0.349443,0.0279865,-0.042614,-0.127071,0.127302,0.349443,-1.48997,-5.75636e-07,0.349235,1.97459e-07,0.000345367,5.26421e-07,1,-1.50385e-07,2.05306e-07,-3.05256e-06,-4.16081e-06,-1.07265e-05,-7.12078e-09,-0.006744,-2.2727e-06,8.81273e-05
1.1325,0.0464622,-0.0290551,-0.126906,0.128036,0.349166,0.0309888,-0.0338557,-0.127044,0.126329,0.349166,0.0356701,-0.029967,-0.127205,0.126711,0.349443,0.0287108,-0.0437168,-0.127211,0.127467,0.349443,-1.48997,-5.75156e-07,0.349231,1.92627e-07,0.000345355,5.26414e-07,1,-6.17947e-08,1.90757e-07,-2.8446e-06,-3.86593e-06,-8.92896e-06,-6.67686e-09,-0.00674049,-2.03672e-06,8.087e-05
1.135,0.0476359,-0.0297891,-0.127073,0.128179,0.349166,0.0317716,-0.034711,-0.127171,0.126461,0.349166,0.0365712,-0.030724,-0.127345,0.126843,0.349442,0.0294361,-0.0448212,-0.12735,0.127628,0.349443,-1.48997,-5.74711e-07,0.349227,1.88142e-07,0.000345347,5.26408e-07,1,3.10504e-08,1.77049e-07,-2.65325e-06,-3.58813e-06,-7.04669e-06,-6.26507e-09,-0.00673861,-1.78845e-06,7.42273e-05
